Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
20240430_072512
/home/paperspace/Desktop/Let-The-Quantum-Creep-In/scripts
Using device cuda
Training Config:
{'framework': 'torch', 'batch_size': 200, 'learning_rate': '5e-4', 'steps': 50, 'print_every_percent': 0.2, 'reps': 5}
____Training with replacement_lvl = 0____
====Training on MNIST====
----Training with rep = 0----
Number of train batches = 300, Number of test batches = 50
Print every train batch = 60, Print every test batch = 10
Training at step=0, batch=0, train loss = 2.2990, train acc = 0.1600, time = 0.2703 seconds
Training at step=0, batch=60, train loss = 0.3521, train acc = 0.8850, time = 0.0019 seconds
Training at step=0, batch=120, train loss = 0.3908, train acc = 0.8750, time = 0.0019 seconds
Training at step=0, batch=180, train loss = 0.2619, train acc = 0.9300, time = 0.0019 seconds
Training at step=0, batch=240, train loss = 0.2795, train acc = 0.8950, time = 0.0019 seconds
Testing at step=0, batch=0, test loss = 0.4041, test acc = 0.9050, time = 0.0011 seconds
Testing at step=0, batch=10, test loss = 0.2951, test acc = 0.9150, time = 0.0011 seconds
Testing at step=0, batch=20, test loss = 0.2772, test acc = 0.8850, time = 0.0010 seconds
Testing at step=0, batch=30, test loss = 0.2996, test acc = 0.9250, time = 0.0011 seconds
Testing at step=0, batch=40, test loss = 0.4326, test acc = 0.9000, time = 0.0010 seconds
Step 0 finished in 6.3897 seconds, Train loss = 0.3994, Test loss = 0.3067; Train Acc = 0.8863, Test Acc = 0.9144
Training at step=1, batch=0, train loss = 0.3224, train acc = 0.9100, time = 0.0023 seconds
Training at step=1, batch=60, train loss = 0.2264, train acc = 0.9300, time = 0.0019 seconds
Training at step=1, batch=120, train loss = 0.2754, train acc = 0.9200, time = 0.0020 seconds
Training at step=1, batch=180, train loss = 0.3063, train acc = 0.9150, time = 0.0019 seconds
Training at step=1, batch=240, train loss = 0.3754, train acc = 0.8900, time = 0.0019 seconds
Testing at step=1, batch=0, test loss = 0.2802, test acc = 0.9300, time = 0.0011 seconds
